iter	Passed	Remaining
432	1523	1994
433	1526	1990
434	1529	1986
435	1532	1982
436	1535	1978
437	1538	1974
438	1541	1970
439	1544	1966
440	1548	1962
441	1551	1958
442	1554	1954
443	1557	1950
444	1561	1947
445	1564	1943
446	1568	1939
447	1571	1936
448	1574	1932
449	1577	1928
450	1581	1924
451	1584	1920
452	1587	1916
453	1590	1913
454	1593	1909
455	1597	1906
456	1601	1902
457	1604	1898
458	1607	1895
459	1611	1891
460	1614	1887
461	1617	1884
462	1621	1880
463	1625	1877
464	1628	1874
465	1632	1870
466	1636	1867
467	1639	1864
468	1643	1860
469	1647	1857
470	1650	1853
471	1654	1850
472	1657	1846
473	1661	1843
474	1664	1839
475	1668	1836
476	1671	1832
477	1674	1829
478	1678	1825
479	1681	1821
480	1685	1818
481	1688	1814
482	1692	1811
483	1695	1807
484	1699	1804
485	1702	1800
486	1706	1797
487	1711	1796
488	1717	1795
489	1722	1792
490	1732	1795
491	1739	1795
492	1743	1792
493	1746	1789
494	1751	1787
495	1755	1784
496	1759	1780
497	1762	1776
498	1766	1773
499	1769	1769
500	1773	1766
501	1776	1762
502	1779	1758
503	1782	1754
504	1786	1751
505	1790	1747
506	1793	1743
507	1796	1740
508	1799	1736
509	1803	1732
510	1806	1728
511	1809	1724
512	1812	1720
513	1815	1716
514	1818	1712
515	1822	1709
516	1825	1705
517	1828	1701
518	1831	1697
519	1834	1693
520	1837	1689
521	1840	1685
522	1843	1681
523	1846	1677
524	1850	1673
525	1853	1669
526	1856	1665
527	1859	1662
528	1862	1658
529	1865	1654
530	1868	1650
531	1871	1646
532	1874	1642
533	1878	1638
534	1881	1635
535	1884	1631
536	1887	1627
537	1890	1623
538	1893	1619
539	1896	1615
540	1900	1612
541	1903	1608
542	1906	1604
543	1909	1600
544	1912	1596
545	1915	1592
546	1918	1589
547	1921	1585
548	1924	1581
549	1928	1577
550	1931	1573
551	1934	1569
552	1937	1565
553	1940	1562
554	1943	1558
555	1946	1554
556	1949	1550
557	1952	1546
558	1955	1542
559	1958	1539
560	1961	1535
561	1964	1531
562	1967	1527
563	1970	1523
564	1973	1519
565	1977	1515
566	1980	1512
567	1983	1508
568	1986	1504
569	1989	1500
570	1992	1496
571	1995	1493
572	1998	1489
573	2001	1485
574	2004	1481
575	2007	1477
576	2010	1474
577	2013	1470
578	2016	1466
579	2020	1462
580	2023	1459
581	2026	1455
582	2029	1451
583	2032	1447
584	2035	1444
585	2038	1440
586	2042	1436
587	2045	1432
588	2048	1429
589	2051	1425
590	2054	1421
591	2057	1417
592	2060	1414
593	2063	1410
594	2066	1406
595	2069	1402
596	2072	1399
597	2075	1395
598	2078	1391
599	2082	1388
600	2085	1384
601	2088	1380
602	2091	1376
603	2094	1373
604	2097	1369
605	2100	1365
606	2103	1361
607	2106	1358
608	2109	1354
609	2112	1350
610	2115	1347
611	2118	1343
612	2121	1339
613	2124	1335
614	2128	1332
615	2131	1328
616	2134	1324
617	2137	1321
618	2140	1317
619	2143	1313
620	2146	1310
621	2149	1306
622	2152	1302
623	2156	1299
624	2159	1295
625	2162	1291
626	2165	1288
627	2168	1284
628	2171	1280
629	2174	1277
630	2177	1273
631	2180	1269
632	2183	1266
633	2186	1262
634	2189	1258
635	2192	1255
636	2195	1251
637	2198	1247
638	2201	1243
639	2204	1240
640	2208	1236
641	2210	1232
642	2214	1229
643	2217	1225
644	2220	1222
645	2223	1218
646	2226	1214
647	2229	1211
648	2232	1207
649	2235	1203
650	2238	1200
651	2242	1196
652	2245	1193
653	2248	1189
654	2251	1185
655	2254	1182
656	2257	1178
657	2260	1174
658	2263	1171
659	2266	1167
660	2269	1163
661	2272	1160
662	2275	1156
663	2278	1153
664	2282	1149
665	2285	1146
666	2288	1142
667	2291	1139
668	2295	1135
669	2298	1131
670	2301	1128
671	2304	1124
672	2307	1121
673	2310	1117
674	2313	1113
675	2316	1110
676	2319	1106
677	2323	1103
678	2326	1100
679	2329	1096
680	2333	1092
681	2336	1089
682	2339	1085
683	2342	1082
684	2345	1078
685	2348	1074
686	2351	1071
687	2354	1067
688	2357	1064
689	2360	1060
690	2363	1056
691	2366	1053
692	2369	1049
693	2372	1046
694	2375	1042
695	2378	1039
696	2382	1035
697	2385	1031
698	2388	1028
699	2391	1024
700	2394	1021
701	2397	1017
702	2400	1014
703	2403	1010
704	2406	1007
705	2409	1003
706	2413	1000
707	2416	996
708	2419	993
709	2422	989
710	2425	985
711	2429	982
712	2432	979
713	2435	975
714	2438	971
715	2441	968
716	2444	964
717	2447	961
718	2450	957
719	2453	954
720	2457	950
721	2460	947
722	2463	943
723	2466	940
724	2470	937
725	2474	933
726	2477	930
727	2480	926
728	2483	923
729	2487	919
730	2490	916
731	2493	913
732	2497	909
733	2500	906
734	2504	902
735	2507	899
736	2510	896
737	2514	892
738	2518	889
739	2521	885
740	2524	882
741	2528	879
742	2531	875
743	2535	872
744	2538	868
745	2541	865
746	2545	862
747	2548	858
748	2552	855
749	2555	851
750	2559	848
751	2562	845
752	2565	841
753	2569	838
754	2572	834
755	2575	831
756	2579	828
757	2582	824
758	2586	821
759	2589	817
760	2592	814
761	2596	810
762	2599	807
763	2602	803
764	2605	800
765	2609	797
766	2613	793
767	2616	790
768	2619	786
769	2623	783
770	2626	780
771	2629	776
772	2633	773
773	2636	769
774	2639	766
775	2643	762
776	2646	759
777	2650	756
778	2653	752
779	2656	749
780	2660	745
781	2663	742
782	2666	738
783	2669	735
784	2673	732
785	2676	728
786	2680	725
787	2683	721
788	2686	718
789	2689	715
790	2692	711
791	2696	708
792	2699	704
793	2702	701
794	2705	697
795	2708	694
796	2711	690
797	2714	687
798	2717	683
799	2721	680
800	2724	676
801	2727	673
802	2730	669
803	2733	666
804	2736	662
805	2739	659
806	2742	655
807	2746	652
808	2749	649
809	2752	645
810	2755	642
811	2758	638
812	2761	635
813	2764	631
814	2767	628
815	2770	624
816	2773	621
817	2776	617
818	2779	614
819	2783	610
820	2786	607
821	2789	604
822	2792	600
823	2796	597
824	2799	593
825	2802	590
826	2805	586
827	2808	583
828	2811	579
829	2814	576
830	2818	573
831	2821	569
832	2824	566
833	2827	562
834	2830	559
835	2833	555
836	2836	552
837	2839	548
838	2842	545
839	2845	542
840	2848	538
841	2851	535
842	2854	531
843	2858	528
844	2861	524
845	2864	521
846	2867	517
847	2870	514
848	2873	511
849	2876	507
850	2879	504
851	2883	500
852	2886	497
853	2889	493
854	2892	490
855	2895	487
856	2898	483
857	2901	480
858	2904	476
859	2907	473
860	2911	469
861	2914	466
862	2918	463
863	2921	459
864	2925	456
865	2928	453
866	2932	449
867	2935	446
868	2939	443
869	2942	439
870	2946	436
871	2950	433
872	2953	429
873	2958	426
874	2962	423
875	2965	419
876	2969	416
877	2973	413
878	2976	409
879	2980	406
880	2983	403
881	2987	399
882	2991	396
883	2995	393
884	2999	389
885	3002	386
886	3005	382
887	3009	379
888	3013	376
889	3016	372
890	3020	369
891	3023	366
892	3027	362
893	3030	359
894	3033	355
895	3037	352
896	3041	349
897	3044	345
898	3047	342
899	3051	339
900	3054	335
901	3058	332
902	3061	328
903	3065	325
904	3069	322
905	3072	318
906	3075	315
907	3079	312
908	3083	308
909	3086	305
910	3089	301
911	3093	298
912	3096	295
913	3100	291
914	3103	288
915	3106	284
916	3110	281
917	3113	278
918	3116	274
919	3119	271
920	3122	267
921	3125	264
922	3129	261
923	3132	257
924	3135	254
925	3138	250
926	3141	247
927	3144	243
928	3147	240
929	3150	237
930	3153	233
931	3157	230
932	3160	226
933	3163	223
934	3166	220
935	3169	216
936	3172	213
937	3175	209
938	3178	206
939	3181	203
940	3184	199
941	3187	196
942	3191	192
943	3194	189
944	3197	186
945	3200	182
946	3203	179
947	3206	175
948	3209	172
949	3212	169
950	3215	165
951	3218	162
952	3221	158
953	3224	155
954	3227	152
955	3230	148
956	3234	145
957	3237	141
958	3240	138
959	3243	135
960	3246	131
961	3249	128
962	3252	124
963	3255	121
964	3258	118
965	3261	114
966	3264	111
967	3267	108
968	3270	104
969	3273	101
970	3276	97
971	3279	94
972	3282	91
973	3285	87
974	3288	84
975	3291	80
976	3294	77
977	3297	74
978	3300	70
979	3304	67
980	3307	64
981	3310	60
982	3313	57
983	3316	53
984	3319	50
985	3322	47
986	3325	43
987	3328	40
988	3331	37
989	3335	33
990	3338	30
991	3341	26
992	3344	23
993	3347	20
994	3350	16
995	3353	13
996	3356	10
997	3359	6
998	3362	3
999	3366	0
